SolidityFile,GasCost,ACI,PM,EF,AZ,LI,IFF,UMA,SB,RLV,GV,NLF,NU,IP,NM,MA,EC,BV,NE,DF
0x3512ea8e6a75d474dd7cefe1938df5ffd80118c5_Audit.sol,0.0141534,0,6,0,0,0,0,0,0,0.666666667,2,0,0,5,1.5,0.6,0.166666667,0,2,0.12244898
0x1712d58a38c8e3dd420503580800b8ec918c4f00_AUSTRALIA_WINS.sol,0.01842312,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x477fa86d97035217e576e861578d38a2e8888c09_AuthAdmin.sol,0.01873532,0,9,0,2,0,0,0,0,0.444444444,4,2,0,8,0.5,0.5,0.052631579,3,4,0.15
0x22a1ed2f03206be150ede2a7ffa909f7be033d99_AuthenticationManager.sol,0.01922204,9,2,0,12,0,0.12244898,0,3,0.408163265,42,7,0.454545455,41,0.19047619,0.571428571,0.183673469,0.547169811,18,0
0x7030c996b2dbdf59677b7c037aba78417d0f6e3d_Authority.sol,0.00463494,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.071428571
0x16d754b9ede093c5642c5c631fcd0f204ec348f0_AutoSplit.sol,0.01349362,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.206896552
0x629540f0955778be6b7165a602f9f25714be234a_AviciiCoin.sol,0.0511563,5,23,0,2,0,0.258064516,0,2,0.64516129,19,1,0.06185567,15,0.315789474,0,0.283783784,0.12,5,2
0x4f3e1a467d2ce2e01941a789ab226c13202d880e_AvPresale.sol,0.02380704,0,2,5,5,0,0,0,0,0.272727273,18,0,0,0,0.055555556,0.5,0.294117647,0.75,0,0.078571429
0x03fb0c3b86086170b81b9c8bea0a74775f90a314_AWAXToken.sol,0.0179559,0,18,0,1,0,0.25,0,0,0.875,8,0,0.066666667,11,0.375,0,0.04,2.2,6,4.8
0x95566f0a27487001ad236697aeec0ae778a0c40c_AXLCrowdsale.sol,0.01922496,0,10,0,0,0,0,0,0,0.1,8,0,0.181818182,3,0.125,0,0,2,1,0.172413793
0x2708ff1f06c99932ac099422031da3691c625aed_AXLToken.sol,0.02313092,0,6,0,0,0,0.142857143,0,0,0.571428571,6,0,0.214285714,5,0.5,0,0.357142857,4,2,0.12962963
0x2183481bf5fda35ca45e85d380603def3bc069e1_Axso.sol,0.02000584,0,8,0,1,0,0,0,0,1,7,0,0.066666667,6,0.428571429,0,0.666666667,0,2,0.129032258
0xf8d266596c934073ac0435fe508f4448ee1e460b_AZRIELI_GROUP_20230515.sol,0.01843456,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x48535d9d836fb6323dc038b6a82ac407f66f58b0_AZTCrowdsale.sol,0.0165929,0,7,1,1,0,0,0,0,0,4,0,0.2,3,0,0,0,1,1,0.137931034
0x2e9f2a3c66ffd47163b362987765fd8857b1f3f9_AZTToken.sol,0.03155442,0,9,0,0,0,0.1,0,0,0.4,8,0,0.2,7,0.5,0,0.35,7,3,0.12987013
0xf29ebe930a539a60279ace72c707cba851a57707_B.sol,0.00396862,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
0x8D056569B215c8B56e4b3A615DAC425D8d2352A4_B_GIFT.sol,0.0063494,0,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.11627907
0x6e58b4c41cab75dc0239938bf5455ab8823ee4de_B2X.sol,0.02342558,4,2,0,1,0,0,0,0,0.6875,7,1,0.105263158,6,0.428571429,0.75,1.2,6,2,0
